Frame,Pos_X,Pos_Y,Distancia
0,8.0,5.0,7.3824115301167
0,8.0,5.0,7.3824115301167
1,7.985012495834077,5.299500249940484,7.516088691628242
2,7.940199733523725,5.596007992385184,7.632395042276203
3,7.866009467376818,5.886560619984019,7.730976045204503
4,7.763182982008655,6.1682550269259515,7.811534168301529
5,7.632747685671118,6.438276615812609,7.8738281737910745
6,7.476006844729035,6.693927420185107,7.917672628645302
7,7.294526561853465,6.932653061713074,7.942937577808715
8,7.090120128041496,7.1520682726985685,7.9495483396970705
9,6.864829904811993,7.34998072888245,7.937485397521126
10,6.620906917604419,7.524412954423689,7.9067843719300175
11,6.360788364276732,7.673622080184306,7.857536071264787
12,6.08707326343002,7.796117257901679,7.789886626217476
13,5.802496485873762,7.890674556251579,7.704037726729886
14,5.509901428700722,7.956349189965381,7.600246991424865
15,5.212211605003109,7.992484959812163,7.47882851479474
16,4.912401433096133,7.998720809124515,7.340153656126317
17,4.613466517113426,7.9749944313574055,7.18465215854573
18,4.318393715920738,7.921542892634585,7.012813719177721
19,4.030131299409489,7.838900263062243,6.825190175907344
20,3.7515594903585727,7.727892280477045,6.622398537980731
21,3.485461686200427,7.589628099946621,6.405125174657349
22,3.2344966482339625,7.42548921145877,6.174131600302113
23,3.0011719361605267,7.23711563653016,5.930262473856854
24,2.7878188533762627,7.026389541653452,5.674456693394355
25,2.596569153359199,6.795416432311869,5.407762855349472
26,2.429333739893158,6.546504115464392,5.1313609293736935
27,2.2877835739488166,6.282139640701489,4.846592875675874
28,2.173332977994025,6.004964450467714,4.555006256772011
29,2.087125504551228,5.717747987641946,4.2584168942639025
30,2.0300225101986635,5.423360024179601,3.9589995883616678
31,2.0025945491801616,5.124741987299871,3.659420139224278
32,2.005115672615741,4.82487756971726,3.3630273112674844
33,2.0375606902734056,4.526762917570254,3.074128373198754
34,2.099605422261617,4.233376693919505,2.7983700279390957
35,2.190629938127611,3.9476503169311403,2.543218784416956
36,2.309724750997559,3.672438670115443,2.31843566824508
37,2.455699904868776,3.4104915772745197,2.136197644180676
38,2.6270968642567505,3.1644263271718422,2.01013988070486
39,2.8222030873995805,2.936701522448078,1.9525194669794224
40,3.039069137409164,2.7295925140762156,1.9699318669430312
41,3.2755281604001945,2.5451686668067675,2.0603101199695
42,3.5292175359779017,2.3852726827592354,2.2139176884337775
43,3.7976024837600737,2.251502189751635,2.417381375493317
44,4.078001390064742,2.1451937783314516,2.657511275380286
45,4.367612601707661,2.067409647004709,2.923209835264412
46,4.6635424191948385,2.018926989099606,3.205820621628901
47,4.962834009611329,2.0002302273076973,3.498778309415042
48,5.262496950318342,2.0115061734924784,3.797107039138578
49,5.559537108267727,2.0526421621270026,4.096981192629898
50,5.850986556389679,2.1232271760105847,4.395394877232516
51,6.133933228138943,2.2225559530168035,4.689927959797488
52,6.405550013901131,2.3496360328395407,4.97858436979677
53,6.663123008537484,2.5031976733282977,5.25968105240807
54,6.904078627827904,2.6817065373320386,5.531771520599852
55,7.12600932287378,2.8833790232888243,5.793592876888937
56,7.326697635530751,3.1062000863830375,6.044028793230267
57,7.50413835451748,3.3479433722070873,6.282083419302228
58,7.6565585508239575,3.60619346175873,6.506862845340971
59,7.782435292232108,3.878370005509292,6.717561840741759
0,8.0,5.0,7.3824115301167
0,8.0,5.0,7.3824115301167
1,7.985012495834077,5.299500249940484,7.516088691628242
2,7.940199733523725,5.596007992385184,7.632395042276203
3,7.866009467376818,5.886560619984019,7.730976045204503
4,7.763182982008655,6.1682550269259515,7.811534168301529
5,7.632747685671118,6.438276615812609,7.8738281737910745
6,7.476006844729035,6.693927420185107,7.917672628645302
7,7.294526561853465,6.932653061713074,7.942937577808715
8,7.090120128041496,7.1520682726985685,7.9495483396970705
9,6.864829904811993,7.34998072888245,7.937485397521126
10,6.620906917604419,7.524412954423689,7.9067843719300175
11,6.360788364276732,7.673622080184306,7.857536071264787
12,6.08707326343002,7.796117257901679,7.789886626217476
13,5.802496485873762,7.890674556251579,7.704037726729886
14,5.509901428700722,7.956349189965381,7.600246991424865
