Timestamp,Player_X,Player_Y,Obj1_X,Obj1_Y,Obj2_X,Obj2_Y
15:36:59.400474,115,115,705,510,405,65
15:36:59.506478,115,115,703,509,403,65
15:36:59.570798,115,115,695,505,395,65
15:36:59.620508,115,115,689,502,389,65
15:36:59.771601,115,115,671,493,371,65
15:36:59.836810,115,115,663,489,363,65
15:36:59.886557,115,115,657,486,357,65
15:36:59.935986,115,115,651,483,351,65
15:37:00.165674,115,115,623,469,323,65
15:37:00.215534,115,115,617,466,317,65
15:37:00.315563,115,115,605,460,305,66
15:37:00.465560,115,115,587,451,287,71
15:37:00.600630,115,115,571,443,271,75
15:37:00.650997,115,115,565,440,265,76
15:37:00.700519,115,115,559,437,259,78
15:37:00.750070,115,115,553,434,253,79
15:37:00.800644,115,115,547,431,247,81
15:37:00.886605,115,115,537,426,237,83
15:37:00.935867,115,115,531,423,231,85
15:37:01.035762,115,135,519,417,219,90
15:37:01.086414,115,150,513,414,213,93
15:37:01.151337,115,155,505,410,205,97
15:37:01.216557,115,155,497,406,197,101
15:37:01.316817,115,175,485,400,186,107
15:37:01.350429,115,185,481,398,184,109
15:37:01.400683,115,200,475,395,181,115
15:37:01.570209,115,250,455,385,171,135
15:37:01.670237,115,280,443,379,165,147
15:37:01.720397,115,295,437,377,162,153
15:37:01.770629,115,310,431,377,159,159
15:37:01.821409,115,325,425,377,156,165
15:37:01.871347,115,325,419,377,155,171
15:37:01.921637,115,325,413,377,153,177
15:37:02.005111,115,325,403,377,151,187
15:37:02.105594,135,325,391,377,150,199
15:37:02.155534,150,325,385,377,150,205
15:37:02.255352,180,325,373,376,151,217
15:37:02.305876,195,325,367,373,154,223
15:37:02.355523,210,325,361,370,157,229
15:37:02.455350,240,325,349,364,163,240
15:37:02.571214,275,325,335,357,174,247
15:37:02.620387,290,325,329,354,180,250
15:37:02.670449,305,325,325,350,186,253
15:37:02.770340,335,325,325,338,198,259
15:37:02.869994,365,325,337,332,210,265
15:37:02.919958,380,325,343,332,216,268
15:37:03.135536,445,325,369,332,242,276
15:37:03.201546,465,325,377,332,250,276
15:37:03.235923,475,325,381,332,254,276
15:37:03.536413,565,245,417,320,290,276
15:37:03.570233,575,235,421,318,294,276
15:37:03.655957,600,210,431,313,304,276
15:37:03.871410,665,170,457,300,330,265
15:37:03.970667,695,170,469,294,342,260
15:37:04.036068,715,190,477,290,350,260
15:37:04.050705,720,195,479,289,352,260
15:37:04.221246,730,245,499,284,372,260
15:37:04.321535,730,275,511,284,384,260
15:37:04.390322,730,295,519,284,392,260
15:37:04.441157,730,310,525,284,398,260
15:37:04.505678,730,330,533,284,406,260
15:37:04.605949,730,360,545,290,418,264
15:37:04.655431,730,375,551,293,424,267
15:37:04.705763,730,390,557,296,430,270
15:37:04.740453,730,400,561,298,434,272
15:37:04.790836,730,415,567,301,440,275
15:37:04.840034,730,430,573,304,446,278
15:37:04.890536,730,445,578,307,452,281
15:37:04.991104,745,475,584,313,464,287
15:37:05.040772,750,490,587,316,470,290
15:37:05.155424,750,525,594,328,484,297
15:37:05.205920,750,540,597,334,488,300
15:37:05.305573,750,570,603,346,494,306
15:37:05.454979,750,580,612,364,503,315
15:37:05.555662,750,565,618,376,509,321
15:37:05.620803,750,545,622,384,513,325
15:37:05.935653,750,450,651,405,549,344
15:37:06.070546,750,410,667,408,565,352
15:37:06.156108,750,385,677,407,575,353
15:37:06.370059,750,320,697,391,601,353
15:37:06.471200,750,290,703,379,613,348
15:37:06.520684,750,275,706,373,619,345
15:37:06.570007,750,260,709,367,625,342
15:37:06.620695,750,245,712,361,631,339
15:37:06.670810,750,230,715,355,636,336
15:37:06.720269,750,215,716,349,639,333
15:37:06.785326,750,195,716,341,643,326
15:37:06.836473,750,180,716,335,646,320
15:37:06.886220,750,180,716,329,649,314
15:37:06.985832,750,180,716,317,655,302
15:37:07.105080,750,210,722,303,662,292
15:37:07.155944,750,225,725,297,668,289
15:37:07.205374,750,240,728,291,674,286
15:37:07.290401,750,265,733,282,684,282
15:37:07.340589,750,280,739,280,690,282
15:37:07.390569,750,295,743,284,696,282
15:37:07.476314,750,320,745,294,706,287
15:37:07.525385,750,335,745,300,710,290
15:37:07.594561,750,355,745,308,714,298
15:37:07.645107,750,370,745,314,717,304
15:37:07.695566,750,385,745,320,720,310
15:37:07.730050,750,395,745,324,722,314
15:37:07.780686,750,410,745,330,725,320
15:37:07.844703,750,430,745,338,726,328
15:37:07.960781,750,465,745,352,726,342
15:37:08.075604,750,500,745,366,726,356
15:37:08.256461,750,555,745,388,726,378
15:37:08.355778,750,560,745,400,726,390
15:37:08.456052,760,560,745,412,726,402
15:37:08.505011,755,560,745,418,726,408
15:37:08.555729,740,560,745,424,726,414
15:37:08.604934,725,560,745,430,726,420
15:37:08.655034,710,560,744,436,726,426
15:37:08.755432,680,560,738,448,723,438
15:37:08.855669,650,560,732,460,717,450
15:37:08.905847,635,560,729,464,714,456
15:37:09.020050,600,560,717,471,707,465
15:37:09.054477,590,560,713,473,703,467
15:37:09.155958,560,560,701,479,691,473
15:37:09.205421,545,560,695,482,685,476
15:37:09.255544,530,560,689,485,679,479
15:37:09.696077,515,560,683,488,673,482
15:37:09.761043,495,560,675,492,665,486
15:37:09.811145,480,560,669,495,659,489
15:37:09.861091,465,560,663,498,653,492
15:37:09.910485,450,560,657,501,647,495
15:37:10.025950,415,560,643,504,633,502
15:37:10.075472,400,560,637,504,627,503
15:37:10.140455,380,560,629,504,619,503
15:37:10.240719,350,560,617,504,607,503
15:37:10.555348,255,560,579,504,569,503
15:37:10.619535,235,560,571,504,561,503
15:37:10.785648,185,540,551,504,541,503
15:37:10.935911,165,495,533,504,523,503
15:37:11.020153,165,470,523,504,513,503
15:37:11.084978,165,450,515,504,505,503
15:37:11.120144,165,440,511,504,501,503
15:37:11.185022,165,425,505,504,495,503
15:37:11.219819,165,410,499,502,489,501
15:37:11.355523,165,370,483,494,473,493
15:37:11.440189,165,345,473,489,463,488
15:37:11.491123,165,330,467,486,457,485
15:37:11.539667,165,315,461,483,451,482
15:37:11.640693,165,285,449,477,439,476
15:37:11.739528,165,255,437,471,427,470
15:37:11.840655,165,225,427,465,419,464
15:37:11.905070,165,205,423,461,415,460
15:37:11.954755,165,190,420,458,412,457
15:37:12.390824,165,185,419,457,411,456
15:37:12.395407,170,185,418,456,410,455
15:37:12.460121,190,185,414,449,406,447
15:37:12.625514,240,185,404,429,396,427
15:37:12.674739,255,185,401,423,393,421
15:37:12.726091,270,185,398,417,390,415
15:37:12.775386,285,185,395,411,387,409
15:37:12.960230,340,185,386,389,379,387
15:37:13.060203,370,185,386,377,379,375
15:37:13.095821,380,185,386,373,379,371
15:37:13.194881,410,185,386,361,379,359
15:37:13.245118,425,185,386,355,380,353
15:37:13.296616,440,185,389,349,383,347
15:37:13.310158,445,185,390,347,384,345
15:37:13.345308,455,185,392,343,386,341
15:37:13.410607,475,185,396,335,390,333
15:37:13.811003,595,190,429,302,424,301
15:37:14.060220,670,265,459,292,454,292
15:37:14.126061,690,285,467,292,462,292
